customer_id,first_name,last_name,age_group,gender,region,loyalty_tier,registration_date,email_opt_in,is_active
CUST00001,Jacob,Jones,65+,Female,South East,Bronze,2023-10-17,True,True
CUST00002,Noah,Lee,18-24,Male,London,Bronze,2023-07-13,True,True
CUST00003,Emily,Wood,45-54,Prefer not to say,South East,Gold,2024-01-04,True,True
CUST00004,Ella,Roberts,25-34,Female,London,Bronze,2022-12-15,True,False
CUST00005,Sophia,Williams,65+,Female,East of England,Platinum,2023-09-11,False,True
CUST00006,Rahul,Walker,65+,Male,London,Bronze,2022-10-28,True,False
CUST00007,Mia,Evans,45-54,Female,East of England,Gold,2024-05-25,True,True
CUST00008,Ella,Brown,55-64,Prefer not to say,London,Silver,2022-08-03,True,True
CUST00009,Mia,Martin,18-24,Male,North West,Gold,2022-10-04,False,True
CUST00010,Mohammed,Robinson,65+,Female,South West,Gold,2022-08-05,False,True
CUST00011,Isabella,White,65+,Prefer not to say,South West,Silver,2022-05-23,True,True
CUST00012,Michael,Davies,18-24,Male,London,Bronze,2022-05-22,False,True
CUST00013,Sofia,Ahmed,55-64,Female,Wales,Gold,2023-01-30,True,True
CUST00014,Ella,Clark,18-24,Female,South West,Silver,2022-04-28,True,False
CUST00015,Amelia,Evans,65+,Female,North West,Silver,2024-02-20,True,True
CUST00016,Olivia,Smith,55-64,Female,East of England,Bronze,2024-02-20,True,False
CUST00017,Lily,Thompson,18-24,Male,North West,Platinum,2024-05-01,True,True
CUST00018,George,Thomas,25-34,Prefer not to say,East of England,Silver,2024-04-15,True,True
CUST00019,Thomas,Robinson,55-64,Prefer not to say,West Midlands,Silver,2023-09-14,False,False
CUST00020,Rahul,Kim,55-64,Female,London,Bronze,2023-10-28,True,True
CUST00021,Mia,Wood,18-24,Male,Yorkshire,Bronze,2023-07-22,True,False
CUST00022,Aisha,Brown,55-64,Male,South East,Silver,2024-05-30,True,True
CUST00023,Sarah,Thompson,45-54,Female,London,Bronze,2023-08-08,False,True
CUST00024,David,Taylor,65+,Prefer not to say,Wales,Bronze,2023-02-25,False,True
CUST00025,Charlie,Thompson,25-34,Male,East of England,Bronze,2024-03-30,True,True
CUST00026,George,Kim,55-64,Male,London,Platinum,2022-09-13,True,False
CUST00027,Isabella,Johnson,45-54,Female,East of England,Gold,2024-02-11,True,True
CUST00028,Sofia,White,45-54,Female,South West,Platinum,2022-01-03,False,True
CUST00029,Ava,Taylor,55-64,Prefer not to say,East Midlands,Silver,2022-10-31,True,True
CUST00030,Olivia,Taylor,55-64,Male,North West,Bronze,2023-05-04,True,True
CUST00031,Daniel,Wilson,55-64,Male,East Midlands,Bronze,2022-08-29,True,True
CUST00032,Mohammed,White,25-34,Prefer not to say,Yorkshire,Bronze,2023-08-21,False,True
CUST00033,Lily,Ahmed,35-44,Male,London,Silver,2023-10-23,True,True
CUST00034,Sophia,Thomas,35-44,Male,North West,Bronze,2022-08-07,True,True
CUST00035,Lily,Smith,65+,Prefer not to say,South East,Silver,2023-07-11,True,True
CUST00036,Freddie,Watson,35-44,Prefer not to say,London,Bronze,2022-04-20,True,True
CUST00037,Jack,Davies,65+,Female,North West,Bronze,2022-09-15,True,True
CUST00038,Sophia,Johnson,65+,Female,East Midlands,Bronze,2023-10-15,True,True
CUST00039,Freddie,Williams,35-44,Prefer not to say,East Midlands,Bronze,2023-12-09,True,True
CUST00040,Harry,Patel,25-34,Prefer not to say,South East,Bronze,2024-03-26,False,False
CUST00041,Freddie,Thompson,25-34,Male,North East,Bronze,2024-02-07,True,True
CUST00042,Isabella,Watson,25-34,Prefer not to say,London,Gold,2023-02-26,False,True
CUST00043,David,Patel,35-44,Male,South East,Silver,2024-04-16,False,True
CUST00044,George,Watson,35-44,Prefer not to say,East of England,Silver,2024-06-04,True,False
CUST00045,Sophia,Lewis,55-64,Female,London,Silver,2022-04-29,True,True
CUST00046,Thomas,Wilson,45-54,Prefer not to say,London,Bronze,2022-11-18,False,True
CUST00047,Isla,Singh,45-54,Male,Scotland,Gold,2024-04-05,True,True
CUST00048,Lily,Harris,65+,Female,South East,Silver,2022-05-08,True,True
CUST00049,Sofia,Lewis,55-64,Prefer not to say,South East,Silver,2023-11-12,True,True
CUST00050,Thomas,Martin,45-54,Female,South West,Bronze,2022-08-04,False,True
CUST00051,Olivia,Davies,35-44,Prefer not to say,West Midlands,Silver,2024-03-26,True,True
CUST00052,Isabella,Harris,25-34,Male,London,Bronze,2024-02-09,False,True
CUST00053,George,Ahmed,45-54,Prefer not to say,East Midlands,Silver,2024-02-26,False,True
CUST00054,Freddie,Smith,18-24,Female,London,Gold,2022-09-07,False,True
CUST00055,Jacob,Ahmed,25-34,Female,West Midlands,Platinum,2022-09-13,True,False
CUST00056,Thomas,Kim,25-34,Prefer not to say,North West,Silver,2023-03-30,True,False
CUST00057,Michael,Thompson,35-44,Female,London,Bronze,2022-10-11,True,True
CUST00058,Noah,Thomas,25-34,Male,South West,Bronze,2023-07-08,True,True
CUST00059,Aisha,Ahmed,45-54,Male,London,Bronze,2023-02-22,True,False
CUST00060,Sofia,Hussain,18-24,Female,South East,Bronze,2024-02-23,False,True
CUST00061,Mia,Sharma,25-34,Female,South West,Bronze,2024-01-23,True,True
CUST00062,Daniel,Johnson,45-54,Male,Wales,Silver,2024-03-28,False,True
CUST00063,Oliver,Davies,65+,Female,London,Silver,2023-11-10,True,True
CUST00064,Ava,Ahmed,35-44,Female,Yorkshire,Bronze,2022-12-02,False,True
CUST00065,Sarah,Jones,65+,Prefer not to say,London,Platinum,2022-03-25,True,True
CUST00066,Harry,Jones,25-34,Male,North West,Silver,2024-03-10,True,True
CUST00067,Jacob,Robinson,45-54,Prefer not to say,South East,Bronze,2023-11-17,True,True
CUST00068,Lily,Evans,55-64,Male,Scotland,Silver,2022-06-17,False,True
CUST00069,Isla,Brown,55-64,Prefer not to say,North West,Bronze,2024-01-03,True,False
CUST00070,Jacob,Williams,35-44,Prefer not to say,South West,Bronze,2023-09-07,True,True
CUST00071,Michael,Evans,45-54,Female,West Midlands,Gold,2023-03-07,True,True
CUST00072,Ella,Hussain,45-54,Female,North West,Silver,2024-01-22,True,False
CUST00073,Noah,Watson,45-54,Male,Yorkshire,Silver,2024-04-30,False,True
CUST00074,Mohammed,Lewis,45-54,Male,South East,Bronze,2023-05-22,True,False
CUST00075,Ella,Smith,55-64,Male,London,Silver,2023-12-20,False,True
CUST00076,Sarah,Sharma,45-54,Male,London,Bronze,2022-09-04,True,True
CUST00077,Rahul,Hussain,55-64,Prefer not to say,South East,Platinum,2023-08-19,True,True
CUST00078,Ella,Harris,35-44,Male,London,Bronze,2023-04-10,True,True
CUST00079,Amelia,Walker,25-34,Prefer not to say,East of England,Silver,2024-02-20,True,False
CUST00080,Isla,Jackson,25-34,Female,London,Bronze,2024-05-02,True,True
CUST00081,Grace,Thomas,65+,Female,London,Bronze,2022-02-25,True,True
CUST00082,Aisha,Lewis,18-24,Female,Scotland,Silver,2023-03-28,True,True
CUST00083,Jack,Roberts,25-34,Prefer not to say,Scotland,Bronze,2022-03-17,True,True
CUST00084,Emily,Wood,55-64,Female,East of England,Bronze,2024-02-22,False,True
CUST00085,Jack,Evans,25-34,Prefer not to say,London,Silver,2023-09-28,True,True
CUST00086,George,Johnson,18-24,Female,East of England,Silver,2023-07-20,True,True
CUST00087,Grace,Ahmed,18-24,Prefer not to say,South East,Bronze,2022-10-23,True,True
CUST00088,Mia,Roberts,35-44,Male,London,Bronze,2023-07-12,True,True
CUST00089,Grace,Kim,18-24,Female,West Midlands,Silver,2024-04-24,True,True
CUST00090,Jessica,Davies,55-64,Male,North East,Silver,2023-05-21,True,True
CUST00091,Oliver,Watson,55-64,Male,Yorkshire,Bronze,2022-08-23,False,False
CUST00092,Thomas,Sharma,18-24,Female,South East,Bronze,2022-07-05,True,False
CUST00093,Emily,Sharma,35-44,Prefer not to say,Scotland,Gold,2022-12-04,True,True
